##################################################################################################
# Global oscillation parameters of the SYD pipeline for KASC WG1 stars, based on 2015 analysis 
# of all SC data prepared by Rasmus Handberg & Mikkel Lund. 
#
# Solar reference values of SYD pipeline:
# Dnu(Sun): 135.1 +/- 0.1 muHz
# numax(Sun): 3090 +/- 30 muHz
# NOTE: uncertainties are the scatter of 111 30d subsets of VIRGO green channel data 
# (see Huber et al. 2011)
#
# range_low + range_up: minimum + maximum frequency used to calculate Dnu
# numax + sig_numax: frequency of maximum power + 1-sigma uncertainty
# Dnu + sig_Dnu: large frequency separation + 1-sigma uncertainty
# Length: Length of input SC time series in days
# DetFlag: Status flag of detection (0=good,1=numax unreliable,2=Dnu unreliable)
# SrcFlag: Source of detection (0=reprocessed 2015 data, 1=Chaplin et al. 2014 analysis)
#
# DH  Jul 30 2015
##################################################################################################
    KIC    |  range_low |  range_up  |   numax    | sig_numax |   dnu    | sig_dnu | Length  | DetFlag | SrcFlag
   3952580  |   370.452  |   905.548  |   627.898  |   17.220  |  36.477  |  0.421  |   30.0  |  0      |  0
   3967430  |  1106.129  |  2703.871  |  1853.132  |   35.684  |  87.040  |  1.424  |   70.8  |  0      |  0
   3967859  |  1154.323  |  2821.677  |  1580.469  |  199.027  |  93.782  |  2.200  |   31.0  |  1      |  0
   4038445  |   285.097  |   696.903  |   492.804  |    6.717  |  31.435  |  0.453  |   29.4  |  0      |  0
   4049576  |   493.548  |  1206.452  |   953.579  |  123.246  |  53.265  |  3.299  |   28.5  |  0      |  0
   4064447  |   176.540  |   399.152  |   287.334  |    7.307  |  19.174  |  0.439  |   28.9  |  0      |  1
   4072740  |   149.226  |   364.774  |   261.380  |    1.357  |  18.352  |  0.041  |  337.1  |  0      |  0
   4165030  |   639.871  |  1564.129  |  1096.081  |   31.105  |  61.846  |  1.284  |   28.6  |  0      |  0
   4243623  |   286.839  |   701.161  |   493.549  |    9.166  |  31.938  |  0.433  |   25.9  |  0      |  0
   4247542  |   722.903  |  1767.097  |  1204.068  |  160.577  |  72.194  |  2.309  |   28.5  |  0      |  0
   4252818  |   765.290  |  1870.710  |  1325.391  |   47.554  |  69.740  |  4.223  |    9.7  |  0      |  0
   4346201  |   580.645  |  1419.355  |   956.143  |   23.302  |  55.319  |  0.365  |   87.9  |  0      |  0
   4347652  |   169.512  |   366.417  |   259.952  |   24.324  |  17.352  |  0.725  |   28.9  |  0      |  1
   4351319  |   223.548  |   546.452  |   385.509  |    1.547  |  24.493  |  0.020  |  781.2  |  0      |  0
   4378838  |   228.194  |   557.806  |   395.498  |   10.038  |  24.146  |  0.587  |   31.0  |  0      |  0
   4446300  |   492.968  |  1205.032  |   844.081  |   27.488  |  50.025  |  0.382  |   24.9  |  0      |  0
   4450844  |   793.742  |  1940.258  |  1358.900  |   14.856  |  72.653  |  0.139  |  189.4  |  0      |  0
   4457351  |   630.000  |  1540.000  |  1088.104  |   35.817  |  61.016  |  2.465  |   29.4  |  0      |  0
   4465324  |  1012.645  |  2475.355  |  1736.016  |   65.499  |  86.274  |  1.360  |   31.0  |  0      |  0
   4465529  |   810.581  |  1981.419  |  1389.690  |   55.518  |  72.660  |  1.048  |   56.3  |  0      |  0
   4543171  |   859.355  |  2100.645  |  1484.420  |   56.951  |  71.217  |  1.952  |   25.7  |  0      |  0
   4554830  |  1016.710  |  2485.290  |  1750.304  |   28.514  |  85.847  |  0.303  |   25.9  |  0      |  0
   4571351  |   940.065  |  2297.936  |  1293.041  |  148.734  |  79.194  |  4.295  |   29.6  |  1      |  0
   4571904  |   493.548  |  1206.452  |   768.524  |   32.962  |  45.028  |  4.239  |   28.6  |  0      |  0
   4574610  |   354.194  |   865.806  |   635.932  |   85.208  |  35.057  |  0.411  |   26.0  |  0      |  0
   4577484  |   474.387  |  1159.613  |   818.378  |  108.929  |  46.500  |  0.615  |   25.9  |  0      |  0
   4586099  |   665.419  |  1626.581  |  1127.662  |   31.464  |  61.819  |  0.297  |   87.1  |  1      |  0
   4638884  |   693.871  |  1696.129  |  1203.148  |   13.039  |  60.727  |  0.173  |  364.4  |  0      |  0
   4641621  |   267.677  |   654.323  |   454.990  |   46.351  |  30.649  |  0.842  |   29.4  |  0      |  0
   4646780  |   667.742  |  1632.258  |  1120.457  |  114.569  |  60.026  |  3.878  |   29.3  |  0      |  0
   4672403  |   642.774  |  1571.226  |  1105.801  |   46.808  |  60.535  |  0.520  |   24.9  |  0      |  0
   4739932  |   657.290  |  1606.710  |  1139.148  |   93.374  |  60.559  |  1.512  |   29.4  |  0      |  0
   4755204  |   789.677  |  1930.323  |  1350.677  |   38.759  |  70.348  |  0.642  |   33.4  |  0      |  0
   4756112  |   384.387  |   939.613  |   669.295  |   63.211  |  36.842  |  1.489  |   29.4  |  0      |  0
   4841753  |   505.742  |  1236.258  |   861.077  |   79.687  |  49.655  |  2.408  |   30.0  |  0      |  0
   4842436  |   793.194  |  1970.051  |  1338.963  |  156.909  |  72.551  |  1.047  |   31.1  |  0      |  1
   4846457  |   457.782  |  1046.283  |   697.151  |   35.177  |  42.067  |  2.258  |   31.1  |  0      |  1
   4914923  |  1033.548  |  2526.452  |  1819.578  |    7.713  |  88.704  |  0.027  |  962.7  |  0      |  0
   4915148  |   329.806  |   806.194  |   567.165  |    6.874  |  35.351  |  0.255  |   29.5  |  0      |  0
   4918355  |   232.839  |   569.161  |   401.246  |    5.727  |  25.448  |  0.352  |   24.9  |  0      |  0
   4931390  |  1215.290  |  2970.710  |  2091.076  |   48.617  |  93.002  |  0.397  |  159.1  |  0      |  0
   4947253  |   535.935  |  1310.064  |   920.825  |   43.826  |  51.547  |  1.140  |   29.4  |  0      |  0
   5021689  |   650.323  |  1589.677  |  1182.910  |   25.138  |  63.504  |  0.218  |   92.6  |  0      |  0
   5033245  |   245.613  |   600.387  |   423.674  |    6.040  |  26.525  |  0.257  |   29.4  |  0      |  0
   5084157  |  1049.226  |  2564.774  |  1792.496  |   40.344  |  87.726  |  3.097  |   29.4  |  1      |  0
   5095159  |   337.935  |   826.065  |   580.816  |   90.860  |  34.995  |  0.206  |   30.0  |  0      |  0
   5095850  |   459.290  |  1122.710  |   797.802  |   18.286  |  46.033  |  2.360  |   33.4  |  0      |  0
   5110725  |   184.065  |   449.935  |   318.001  |    3.849  |  21.157  |  0.237  |   25.9  |  0      |  0
   5184732  |  1200.774  |  2935.226  |  2096.478  |    7.775  |  95.708  |  0.028  |  860.9  |  0      |  0
   5214711  |   661.935  |  1618.064  |  1001.627  |  119.601  |  60.170  |  2.708  |   29.6  |  1      |  0
   5253542  |  1387.742  |  3392.258  |  2393.144  |  143.782  | 108.071  |  1.316  |   31.0  |  1      |  0
   5265656  |   377.419  |   922.581  |   556.196  |   96.070  |  34.521  |  0.797  |   30.0  |  1      |  0
   5309966  |   869.806  |  2126.193  |  1481.641  |   99.337  |  73.168  |  1.878  |    9.7  |  0      |  0
   5344612  |   746.129  |  1823.871  |  1279.595  |  108.494  |  65.683  |  2.718  |   25.9  |  0      |  0
   5353186  |   506.323  |  1237.677  |   879.035  |   22.973  |  47.545  |  1.324  |   28.9  |  0      |  0
   5371516  |   638.710  |  1561.290  |  1013.213  |   18.810  |  55.347  |  0.280  |   74.9  |  1      |  0
   5390438  |   174.194  |   425.806  |   299.568  |    4.206  |  21.183  |  0.295  |   25.7  |  0      |  0
   5429911  |   261.290  |   638.710  |   455.035  |   24.625  |  27.920  |  0.543  |   28.4  |  0      |  0
   5431016  |   505.742  |  1236.258  |   982.258  |   88.035  |  48.838  |  0.249  |  422.4  |  1      |  0
   5431807  |   257.806  |   630.194  |   443.035  |    7.185  |  28.363  |  0.147  |   28.5  |  0      |  0
   5450445  |   629.419  |  1538.581  |  1077.054  |   32.861  |  57.311  |  0.211  |   90.8  |  0      |  0
   5468089  |   652.065  |  1593.936  |  1132.441  |  102.868  |  57.129  |  0.800  |   29.6  |  0      |  0
   5512589  |   710.710  |  1737.290  |  1304.710  |   19.387  |  68.079  |  0.161  |   87.9  |  0      |  0
   5516982  |   987.097  |  2412.903  |  1705.575  |   41.064  |  84.156  |  0.382  |   87.8  |  0      |  0
   5523099  |   419.226  |  1024.774  |   732.632  |   27.695  |  42.617  |  1.376  |   26.1  |  0      |  0
   5530375  |   317.032  |   774.968  |   549.896  |   21.844  |  35.175  |  0.794  |   30.0  |  0      |  0
   5543462  |  1106.129  |  2703.871  |  1768.811  |  283.593  |  92.696  |  4.973  |   30.0  |  1      |  0
   5596656  |   160.839  |   393.161  |   278.110  |    1.284  |  20.838  |  0.020  |  743.0  |  0      |  0
   5603483  |   188.129  |   459.871  |   323.701  |    3.198  |  21.835  |  0.201  |   30.9  |  0      |  0
   5607242  |   397.161  |   970.839  |   676.118  |    3.444  |  40.628  |  0.035  | 1045.4  |  0      |  0
