target,numax_smooth,numax_smooth_err,amp_smooth,amp_smooth_err,numax_gaussian,numax_gaussian_err,amp_gaussian,amp_gaussian_err,fwhm_gaussian,fwhm_gaussian_err,dnu,dnu_err,wn,wn_err,a_1,a_1_err,b_1,b_1_err,a_2,a_2_err,b_2,b_2_err,a_3,a_3_err,b_3,b_3_err
1435467,1312.61897509,--,1.3402782519562813,--,1366.6894289037602,--,1.1975330707464271,--,271.6416970152464,--,71.0,--,1.3897670221368421,--,6.130306195843528,--,0.001953312338286084,--,1.7431579406960986,--,0.0006296033019176558,--,--,--,--,--
11618103,106.27828908,--,862.8212460234938,--,106.29529917431043,--,773.9114346128412,--,13.960096167598861,--,9.363336694003324,--,2.111563562482799,--,21357409704.791824,--,30.44138499886753,--,2944.7114138237794,--,0.0321356892701814,--,784.0177074142576,--,0.010967722436377324,--
2309595,642.8778347,--,16.301999773323356,--,641.4268111911981,--,10.810522746346667,--,61.74891376403179,--,37.0,--,16.133701700791573,--,58.33399852918557,--,0.0037354502121790018,--,--,--,--,--,--,--,--,--
