parameter,value,uncertainty
numax_smooth,106.27828908,1.060005781840504
amp_smooth,862.8212460234938,84.51708709947448
numax_gaussian,106.29529917431043,0.903365669747196
amp_gaussian,773.9114346128412,78.12358836426803
fwhm_gaussian,13.960096167598861,0.882410174934591
dnu,9.360004914112578,0.028648734339564393
wn,2.111563562482799,0.7043311324964517
a_1,21357409704.791824,188394912.77475002
b_1,30.441384998867527,10.884705932443119
a_2,2944.711413823779,241.18047454863049
b_2,0.0321356892701814,0.002660885327486608
a_3,784.0177074142576,125.04344726677587
b_3,0.010967722436377324,0.0005475512425437242
