parameter,value,uncertainty
numax_smooth,1312.61897509,56.32590913198553
amp_smooth,1.3402783629072683,0.31920252189393833
numax_gaussian,1366.6314544415372,55.01718183568468
amp_gaussian,1.1969662359810413,0.2553182476239681
fwhm_gaussian,271.52551874798525,67.14902162416227
dnu,71.4558583795898,1.0115340168457903
wn,1.389767015396294,0.02544640109792109
a_1,6.130306824822766,1.536674587978396
b_1,0.00195331200303313,0.0012285183937866993
a_2,1.7431569710723118,1.564925088082717
b_2,0.0006296031683726256,0.0001937701866038871
