parameter,value,uncertainty
numax_smooth,1312.61897509,74.6792952529772
amp_smooth,1.3402782519562813,0.28853778056402996
numax_gaussian,1366.6894289037602,56.0724171989629
amp_gaussian,1.197533070746427,0.2826545143129437
fwhm_gaussian,271.64169701524634,64.05471803417858
dnu,71.43672312707604,1.1048903345922632
wn,1.389767022136842,0.0311872379502852
a_1,6.130306195843529,1.4556781894815538
b_1,0.0019533123382860836,0.0009993766751431122
a_2,1.7431579406960986,1.6968806986548008
b_2,0.0006296033019176558,0.00023278434963302843
