parameter,value,uncertainty
numax_smooth,1312.61897509,--
amp_smooth,1.3402782519562813,--
numax_gaussian,1366.6894289037602,--
amp_gaussian,1.197533070746427,--
fwhm_gaussian,271.64169701524634,--
dnu,71.0,--
wn,1.389767022136842,--
a_1,6.130306195843529,--
b_1,0.0019533123382860836,--
a_2,1.7431579406960986,--
b_2,0.0006296033019176558,--
